gene_id,length
ENSG00000021826,201425
ENSG00000022267,64657
ENSG00000022277,50864
ENSG00000022556,48012
ENSG00000022567,101139
ENSG00000022840,44108
ENSG00000022976,25325
ENSG00000023041,22489
ENSG00000023171,269346
ENSG00000023191,12788
ENSG00000023228,44692
ENSG00000023287,123385
ENSG00000023318,119815
ENSG00000023330,16241
ENSG00000023445,21953
ENSG00000023516,51109
ENSG00000023572,15248
ENSG00000023608,34008
ENSG00000023697,126079
ENSG00000023734,21091
ENSG00000023839,69954
ENSG00000023892,23953
ENSG00000023902,15537
ENSG00000023909,24257
ENSG00000024048,129442
ENSG00000024422,29712
ENSG00000024526,23069
ENSG00000024862,19810
ENSG00000025039,47657
ENSG00000025156,33568
ENSG00000025293,178396
ENSG00000025423,35629
ENSG00000025434,20733
ENSG00000025708,4280
ENSG00000025770,16556
ENSG00000025772,18267
ENSG00000025796,90452
ENSG00000025800,68507
ENSG00000026025,9352
ENSG00000026036,39384
ENSG00000026103,26528
ENSG00000026297,35078
ENSG00000026508,93520
ENSG00000026559,19451
ENSG00000026652,144094
ENSG00000026751,15764
ENSG00000026950,12971
ENSG00000027001,159211
ENSG00000027075,363417
ENSG00000027644,19054
ENSG00000027697,21964
ENSG00000027847,10198
ENSG00000027869,10605
ENSG00000028116,252291
ENSG00000028137,42237
ENSG00000028203,85053
ENSG00000028277,110475
ENSG00000028310,42510
ENSG00000028528,51967
ENSG00000028839,38262
ENSG00000029153,92435
ENSG00000029363,33224
ENSG00000029364,64375
ENSG00000029534,243542
ENSG00000029639,58359
ENSG00000029725,104075
ENSG00000029993,10262
ENSG00000030066,70468
ENSG00000030110,7746
ENSG00000030419,152736
ENSG00000030582,7860
ENSG00000031003,114001
ENSG00000031081,126331
ENSG00000031691,29737
ENSG00000031698,24264
ENSG00000031823,62003
ENSG00000032219,75383
ENSG00000032389,188905
ENSG00000032444,27760
ENSG00000032742,124368
ENSG00000033011,53456
ENSG00000033030,29474
ENSG00000033050,15721
ENSG00000033100,6338
ENSG00000033122,584023
ENSG00000033170,333529
ENSG00000033178,88503
ENSG00000033327,203055
ENSG00000033627,63738
ENSG00000033800,144294
ENSG00000033867,111699
ENSG00000034053,233832
ENSG00000034152,30560
ENSG00000034510,1015
ENSG00000034533,13774
ENSG00000034677,79158
ENSG00000034693,39811
ENSG00000034713,11506
ENSG00000035115,48668
ENSG00000035141,6115
ENSG00000035403,126170
ENSG00000035499,103278
ENSG00000035664,164997
ENSG00000035681,76345
ENSG00000035687,43415
ENSG00000035720,48610
ENSG00000035862,72410
ENSG00000035928,78919
ENSG00000036054,64259
ENSG00000036257,115247
ENSG00000036448,120506
ENSG00000036473,68860
ENSG00000036530,43003
ENSG00000036549,121003
ENSG00000036672,26496
ENSG00000036828,107961
ENSG00000037042,7722
ENSG00000037241,11042
ENSG00000037280,48118
ENSG00000037474,34052
ENSG00000037637,105640
ENSG00000037749,181572
ENSG00000037757,9760
ENSG00000037897,3648
ENSG00000037965,3784
ENSG00000038002,11663
ENSG00000038210,118541
ENSG00000038219,58987
ENSG00000038274,16240
ENSG00000038358,11447
ENSG00000038382,388786
ENSG00000038427,110685
ENSG00000038532,237622
ENSG00000038945,459612
ENSG00000039068,98249
ENSG00000039123,117590
ENSG00000039139,254212
ENSG00000039319,75366
ENSG00000039523,28370
ENSG00000039560,176284
ENSG00000039600,45801
ENSG00000039650,18469
ENSG00000039987,6756
ENSG00000040199,86866
ENSG00000040275,21142
ENSG00000040341,327339
ENSG00000040487,16974
ENSG00000040531,26644
ENSG00000040608,41831
ENSG00000040633,4693
ENSG00000040933,149538
ENSG00000041353,177656
ENSG00000041357,12012
ENSG00000041515,611853
ENSG00000041802,31672
ENSG00000041880,6522
ENSG00000041982,98682
ENSG00000041988,10720
ENSG00000042062,105434
ENSG00000042088,89825
ENSG00000042286,34711
ENSG00000042304,38516
ENSG00000042317,85426
ENSG00000042429,30736
ENSG00000042445,12576
ENSG00000042493,23679
ENSG00000042753,12710
ENSG00000042813,270908
ENSG00000042832,267945
ENSG00000042980,64945
ENSG00000043039,76431
ENSG00000043093,47879
ENSG00000043143,58918
ENSG00000043355,4981
ENSG00000043462,51582
ENSG00000043514,45401
ENSG00000043591,3038
ENSG00000044090,16328
ENSG00000044115,324067
ENSG00000044446,91816
ENSG00000044459,368941
ENSG00000044524,374513
ENSG00000044574,6490
ENSG00000046604,50831
ENSG00000046647,21614
ENSG00000046651,34612
ENSG00000046653,167699
ENSG00000046889,284986
ENSG00000047056,82846
ENSG00000047188,81591
ENSG00000047230,124937
ENSG00000047249,128015
ENSG00000047315,53436
ENSG00000047346,128500
ENSG00000047365,296293
ENSG00000047410,64041
ENSG00000047457,59419
ENSG00000047578,230236
ENSG00000047579,140251
ENSG00000047597,46339
ENSG00000047617,414363
ENSG00000047621,50773
ENSG00000047634,17539
ENSG00000047644,129220
ENSG00000047648,548269
ENSG00000047662,152315
ENSG00000047849,238582
ENSG00000047932,42273
ENSG00000048028,77696
ENSG00000048052,915467
ENSG00000048140,11667
ENSG00000048162,4989
ENSG00000048342,131687
ENSG00000048392,34459
ENSG00000048405,85134
ENSG00000048462,2858
ENSG00000048471,597553
ENSG00000048544,11054
ENSG00000048545,24643
ENSG00000048649,161021
ENSG00000048707,282017
ENSG00000048740,538278
ENSG00000048828,114427
ENSG00000048991,193815
ENSG00000049089,17324
ENSG00000049130,88058
ENSG00000049167,78619
ENSG00000049192,333182
ENSG00000049239,36563
ENSG00000049245,10136
ENSG00000049246,60857
ENSG00000049247,10429
ENSG00000049249,27294
ENSG00000049283,11068
ENSG00000049323,452556
ENSG00000049449,14648
ENSG00000049540,42118
ENSG00000049541,22959
ENSG00000049618,434759
ENSG00000049656,27347
ENSG00000049759,357314
ENSG00000049768,20039
ENSG00000049769,31668
ENSG00000049860,82624
ENSG00000049883,48028
ENSG00000050030,192616
ENSG00000050130,20967
ENSG00000050165,53562
ENSG00000050327,25344
ENSG00000050344,34939
ENSG00000050393,28011
ENSG00000050405,107758
ENSG00000050426,12462
ENSG00000050438,124446
ENSG00000050555,85299
ENSG00000050628,195455
ENSG00000050730,96058
ENSG00000050748,58956
ENSG00000050767,352775
ENSG00000050820,39872
ENSG00000051009,23366
ENSG00000051108,12722
ENSG00000051128,12060
ENSG00000051180,37566
ENSG00000051341,115214
ENSG00000051382,182230
ENSG00000051523,7765
ENSG00000051596,116807
ENSG00000051620,18666
ENSG00000051825,91694
ENSG00000052126,246648
ENSG00000052344,4294
ENSG00000052723,11206
ENSG00000052749,69718
ENSG00000052795,139024
ENSG00000052802,15497
ENSG00000052841,136013
ENSG00000053108,416086
ENSG00000053254,494278
ENSG00000053328,112344
ENSG00000053371,8181
ENSG00000053372,8323
ENSG00000053438,2484
ENSG00000053501,4483
ENSG00000053524,250735
ENSG00000053702,10196
ENSG00000053747,266779
ENSG00000053770,29818
ENSG00000053900,41235
ENSG00000053918,404421
ENSG00000054116,19483
ENSG00000054118,80925
ENSG00000054148,2303
ENSG00000054179,5954
ENSG00000054219,101401
ENSG00000054267,196585
ENSG00000054277,87274
ENSG00000054282,244057
ENSG00000054356,20025
ENSG00000054392,348044
ENSG00000054523,171033
ENSG00000054598,3982
ENSG00000054611,413082
ENSG00000054654,464534
ENSG00000054690,56322
ENSG00000054793,171876
ENSG00000054965,197702
ENSG00000054967,21075
ENSG00000054983,155845
ENSG00000055044,37925
ENSG00000055070,45570
ENSG00000055118,33360
ENSG00000055130,103196
ENSG00000055147,48788
ENSG00000055163,129516
ENSG00000055208,192972
ENSG00000055211,25454
ENSG00000055332,57855
ENSG00000055483,54060
ENSG00000055609,301081
ENSG00000055732,30418
ENSG00000055917,103543
ENSG00000055950,18057
ENSG00000055955,17726
ENSG00000055957,14473
ENSG00000056050,28474
ENSG00000056097,90390
ENSG00000056277,66192
ENSG00000056487,128843
ENSG00000056558,26780
ENSG00000056586,60803
ENSG00000056736,19226
ENSG00000056972,51525
ENSG00000056998,53998
ENSG00000057019,105754
ENSG00000057252,64966
ENSG00000057294,106022
ENSG00000057468,116360
ENSG00000057593,14897
ENSG00000057608,76909
ENSG00000057657,116476
ENSG00000057663,280368
ENSG00000057704,83435
ENSG00000057757,9814
ENSG00000057935,262378
ENSG00000058056,136361
ENSG00000058063,128126
ENSG00000058085,58889
ENSG00000058091,744166
ENSG00000058262,20042
ENSG00000058272,161897
ENSG00000058335,130874
ENSG00000058404,117427
ENSG00000058453,232691
ENSG00000058600,37726
ENSG00000058668,117294
ENSG00000058673,59345
ENSG00000058729,22380
ENSG00000058799,38079
ENSG00000058804,72985
ENSG00000058866,256566
ENSG00000059122,39277
ENSG00000059145,51546
ENSG00000059377,243274
ENSG00000059378,39202
ENSG00000059573,50770
ENSG00000059588,87866
ENSG00000059691,90503
ENSG00000059728,45257
ENSG00000059758,122219
ENSG00000059769,23017
ENSG00000059804,16957
ENSG00000059915,18922
ENSG00000060069,74707
ENSG00000060138,24234
ENSG00000060140,55395
ENSG00000060237,158873
ENSG00000060303,407
ENSG00000060339,71365
ENSG00000060491,9165
ENSG00000060558,27716
ENSG00000060566,19423
ENSG00000060642,13605
ENSG00000060656,90297
ENSG00000060688,37220
ENSG00000060709,320144
ENSG00000060749,100505
ENSG00000060762,18094
ENSG00000060971,34113
ENSG00000060982,139077
ENSG00000061273,50410
ENSG00000061337,57798
ENSG00000061455,105025
ENSG00000061492,8375
ENSG00000061656,5265
ENSG00000061676,129743
ENSG00000061794,45473
ENSG00000061918,48819
ENSG00000061936,88657
ENSG00000061938,48581
ENSG00000061987,133659
ENSG00000062038,86427
ENSG00000062194,90731
ENSG00000062282,42023
ENSG00000062370,40662
ENSG00000062485,28692
ENSG00000062524,10250
ENSG00000062582,3335
ENSG00000062598,66935
ENSG00000062650,86536
ENSG00000062716,135063
ENSG00000062725,83084
ENSG00000062822,33814
ENSG00000063015,51539
ENSG00000063046,35933
ENSG00000063127,35577
ENSG00000063169,95081
ENSG00000063176,11426
ENSG00000063177,3856
ENSG00000063180,8241
ENSG00000063241,9358
ENSG00000063244,20570
ENSG00000063245,34632
ENSG00000063322,9338
ENSG00000063438,113351
ENSG00000063515,3299
ENSG00000063587,25963
ENSG00000063601,72137
ENSG00000063660,32413
ENSG00000063761,134905
ENSG00000063854,31537
ENSG00000063978,163100
ENSG00000064012,54268
ENSG00000064042,340437
ENSG00000064102,33145
ENSG00000064115,42855
ENSG00000064195,5219
ENSG00000064199,23674
ENSG00000064201,16207
ENSG00000064225,88965
ENSG00000064270,95660
ENSG00000064300,19715
ENSG00000064309,107539
ENSG00000064313,102067
ENSG00000064393,216428
ENSG00000064419,100993
ENSG00000064489,46589
ENSG00000064490,9640
ENSG00000064545,19344
ENSG00000064547,5275
ENSG00000064601,8676
ENSG00000064607,43135
ENSG00000064651,105911
ENSG00000064652,185915
ENSG00000064655,294220
ENSG00000064666,12482
ENSG00000064687,25575
ENSG00000064692,152865
ENSG00000064703,12755
ENSG00000064726,50829
ENSG00000064763,191877
ENSG00000064787,133817
ENSG00000064835,17180
ENSG00000064886,42669
ENSG00000064932,66631
ENSG00000064933,93544
ENSG00000064961,6311
ENSG00000064989,106496
ENSG00000064995,10609
ENSG00000064999,202151
ENSG00000065000,63480
ENSG00000065029,37076
ENSG00000065054,13670
ENSG00000065057,8051
ENSG00000065060,91123
ENSG00000065135,51580
ENSG00000065150,70638
ENSG00000065154,21673
ENSG00000065183,36823
ENSG00000065243,152033
ENSG00000065268,14106
ENSG00000065308,79652
ENSG00000065320,222490
ENSG00000065328,49550
ENSG00000065357,26708
ENSG00000065361,26706
ENSG00000065371,23657
ENSG00000065413,344156
ENSG00000065427,21169
ENSG00000065457,26319
ENSG00000065485,158202
ENSG00000065491,75198
ENSG00000065518,6179
ENSG00000065526,104361
ENSG00000065534,274283
ENSG00000065548,23108
ENSG00000065559,123001
ENSG00000065600,50973
ENSG00000065613,62093
ENSG00000065615,107767
ENSG00000065618,54594
ENSG00000065621,36077
ENSG00000065665,40324
ENSG00000065675,153158
ENSG00000065717,49996
ENSG00000065802,25508
ENSG00000065809,256340
ENSG00000065833,220649
ENSG00000065882,248091
ENSG00000065883,149459
ENSG00000065911,18955
ENSG00000065923,159867
ENSG00000065970,22801
ENSG00000065978,21387
ENSG00000065989,52857
ENSG00000066027,76443
ENSG00000066032,1463630
ENSG00000066044,47086
ENSG00000066056,22126
ENSG00000066084,243672
ENSG00000066117,15507
ENSG00000066135,55369
ENSG00000066136,79955
ENSG00000066185,25924
ENSG00000066230,53993
ENSG00000066248,134555
ENSG00000066279,62567
ENSG00000066294,38421
ENSG00000066322,4676
ENSG00000066336,23687
ENSG00000066379,6010
ENSG00000066382,202379
ENSG00000066405,34920
ENSG00000066422,28243
ENSG00000066427,62125
ENSG00000066455,45642
ENSG00000066468,120126
ENSG00000066557,60774
ENSG00000066583,19279
ENSG00000066629,204367
ENSG00000066651,217338
ENSG00000066654,39268
ENSG00000066697,24591
ENSG00000066735,42171
ENSG00000066739,84146
ENSG00000066777,170270
ENSG00000066813,40201
ENSG00000066827,235261
ENSG00000066855,126527
ENSG00000066923,43925
ENSG00000066926,42325
ENSG00000066933,296286
ENSG00000067048,16370
ENSG00000067057,71385
ENSG00000067064,10018
ENSG00000067066,129664
ENSG00000067082,9285
ENSG00000067113,110115
ENSG00000067141,253495
ENSG00000067167,35198
ENSG00000067177,135505
ENSG00000067182,13357
ENSG00000067191,24250
ENSG00000067208,283708
ENSG00000067221,15696
ENSG00000067225,32793
ENSG00000067248,51639
ENSG00000067334,13634
ENSG00000067365,27971
ENSG00000067369,107667
ENSG00000067445,10969
ENSG00000067533,52690
ENSG00000067560,53853
ENSG00000067596,126473
ENSG00000067601,14878
ENSG00000067606,134984
ENSG00000067646,47225
ENSG00000067704,53909
ENSG00000067715,588015
ENSG00000067798,888369
ENSG00000067829,8757
ENSG00000067836,5912
ENSG00000067840,28399
ENSG00000067842,65263
ENSG00000067900,164907
ENSG00000067955,72074
ENSG00000067992,85196
ENSG00000068001,4992
ENSG00000068024,353486
ENSG00000068028,11198
ENSG00000068078,15579
ENSG00000068079,7716
ENSG00000068097,37914
ENSG00000068120,4810
ENSG00000068137,9080
ENSG00000068305,151049
ENSG00000068308,36358
ENSG00000068323,14684
ENSG00000068354,22895
ENSG00000068366,109159
ENSG00000068383,245693
ENSG00000068394,10328
ENSG00000068400,28544
ENSG00000068438,10343
ENSG00000068489,50977
ENSG00000068615,124090
ENSG00000068650,196839
ENSG00000068654,85939
ENSG00000068697,18978
ENSG00000068724,159980
ENSG00000068745,52350
ENSG00000068784,223485
ENSG00000068796,84863
ENSG00000068831,18545
ENSG00000068878,106924
ENSG00000068885,142894
ENSG00000068903,21307
ENSG00000068912,31775
ENSG00000068971,16922
ENSG00000068976,13585
ENSG00000069020,573234
ENSG00000069188,310061
ENSG00000069248,68082
ENSG00000069275,37360
ENSG00000069329,33386
ENSG00000069345,18312
ENSG00000069399,12339
ENSG00000069424,110266
ENSG00000069431,145128
ENSG00000069482,7396
ENSG00000069493,34584
ENSG00000069509,19220
ENSG00000069535,115840
ENSG00000069667,741018
ENSG00000069696,3437
ENSG00000069702,225992
ENSG00000069764,21760
ENSG00000069812,12252
ENSG00000069849,50425
ENSG00000069869,166824
ENSG00000069943,36688
ENSG00000069956,115269
ENSG00000069966,76264
ENSG00000069974,116147
ENSG00000069998,27776
ENSG00000070010,29291
ENSG00000070018,151019
ENSG00000070019,83967
ENSG00000070031,872
ENSG00000070047,35752
ENSG00000070061,67430
ENSG00000070081,141827
ENSG00000070087,85884
ENSG00000070159,122847
ENSG00000070182,133624
ENSG00000070190,53363
ENSG00000070214,194549
ENSG00000070269,162252
ENSG00000070366,243946
ENSG00000070367,68398
ENSG00000070371,112246
ENSG00000070388,4492
ENSG00000070404,7000
ENSG00000070413,86172
ENSG00000070423,15707
ENSG00000070444,17031
ENSG00000070476,38290
ENSG00000070495,13967
ENSG00000070501,33354
ENSG00000070526,19025
ENSG00000070540,36565
ENSG00000070601,95950
ENSG00000070610,12362
ENSG00000070614,72393
ENSG00000070669,20865
ENSG00000070718,18727
ENSG00000070729,88788
ENSG00000070731,21579
ENSG00000070748,58847
ENSG00000070756,36993
ENSG00000070759,147280
ENSG00000070761,15789
ENSG00000070770,40199
ENSG00000070778,89229
ENSG00000070785,136200
ENSG00000070814,42679
ENSG00000070831,75849
ENSG00000070882,185094
ENSG00000070886,40106
ENSG00000070915,50643
ENSG00000070950,188371
ENSG00000070961,121251
ENSG00000070985,18530
ENSG00000071051,149362
ENSG00000071054,197839
ENSG00000071073,112026
ENSG00000071082,21803
ENSG00000071127,42610
ENSG00000071189,149740
ENSG00000071205,340713
ENSG00000071242,497087
ENSG00000071243,26453
ENSG00000071246,21547
ENSG00000071282,72861
ENSG00000071462,22136
ENSG00000071537,62306
ENSG00000071539,26473
ENSG00000071553,7871
ENSG00000071564,43325
ENSG00000071575,25845
ENSG00000071626,28118
ENSG00000071655,19269
ENSG00000071794,56427
ENSG00000071859,6513
ENSG00000071889,10083
ENSG00000071894,16106
ENSG00000071909,477026
ENSG00000071967,35882
ENSG00000071994,9397
ENSG00000072041,54124
ENSG00000072042,18993
ENSG00000072062,26396
ENSG00000072071,58444
ENSG00000072080,26455
ENSG00000072110,105312
ENSG00000072121,89216
ENSG00000072133,129853
ENSG00000072134,121100
ENSG00000072135,19360
ENSG00000072163,43405
ENSG00000072182,24602
ENSG00000072195,58786
ENSG00000072201,242104
ENSG00000072210,37624
ENSG00000072274,54913
ENSG00000072310,26612
ENSG00000072364,88239
ENSG00000072401,35772
ENSG00000072415,94719
ENSG00000072422,132002
ENSG00000072501,48579
ENSG00000072506,3112
ENSG00000072518,72091
ENSG00000072571,31738
ENSG00000072609,134117
ENSG00000072682,103477
ENSG00000072694,15507
ENSG00000072736,144508
ENSG00000072756,23946
ENSG00000072778,8141
ENSG00000072786,146145
ENSG00000072803,145324
ENSG00000072818,14948
ENSG00000072832,145002
ENSG00000072840,103104
ENSG00000072849,15557
ENSG00000072858,97020
ENSG00000072864,91424
ENSG00000072952,120897
ENSG00000072954,28884
ENSG00000072958,48052
ENSG00000073008,22364
ENSG00000073050,37162
ENSG00000073060,105812
ENSG00000073067,6459
ENSG00000073111,24026
ENSG00000073146,71811
ENSG00000073150,9564
ENSG00000073169,16637
ENSG00000073282,265887
ENSG00000073331,157112
ENSG00000073350,50129
ENSG00000073417,158705
ENSG00000073464,80685
ENSG00000073536,13574
ENSG00000073578,38841
